rev,workload,condition,cache,sample,boundary,ms,status
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,288.550,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,286.958,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,299.393,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,300.181,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,288.627,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,298.661,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,289.996,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,298.699,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,286.051,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,289.028,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,300.133,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,288.724,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,302.282,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,299.192,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,288.278,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,287.934,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,288.017,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,286.330,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,290.017,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,299.137,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,cold,0,setup_total,298.868,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,1,setup_total,170.575,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,2,setup_total,170.525,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,3,setup_total,170.996,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,4,setup_total,169.590,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,5,setup_total,170.885,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,6,setup_total,169.749,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,7,setup_total,170.558,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,8,setup_total,169.492,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,9,setup_total,169.666,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,10,setup_total,169.747,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,11,setup_total,170.391,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,12,setup_total,169.815,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,13,setup_total,169.630,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,14,setup_total,169.855,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,15,setup_total,169.715,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,16,setup_total,170.578,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,17,setup_total,170.438,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,18,setup_total,170.516,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,19,setup_total,170.327,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_dial,relay,warm,20,setup_total,170.513,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,299.716,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,293.391,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,298.865,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,290.342,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,292.289,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,299.105,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,289.487,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,298.872,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,287.910,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,300.131,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,290.069,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,290.727,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,299.009,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,289.704,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,298.947,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,299.945,ok
d936f8f1353884b10194235108d0a983ef8abc62,iroh_session,relay,cold,0,setup_total,287.323,ok
