rev,workload,condition,sample,echoes,payload,cpu_ns,slices,vcsw,nvcsw,threads
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,0,100,1,3741969,503,498,5,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,1,100,1,3144120,503,499,4,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,2,100,1,3134389,495,494,1,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,3,100,1,3368680,498,495,3,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,4,100,1,3398658,496,496,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,5,100,1,5290099,513,506,7,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,6,100,1,3093489,498,496,2,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,7,100,1,3171159,503,501,2,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,8,100,1,5316589,506,503,3,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,9,100,1,3022140,504,502,2,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial,discovery,10,100,1,3003799,505,503,2,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,0,100,115,3856679,509,505,4,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,1,100,115,3421989,501,500,1,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,2,100,115,3212460,502,498,4,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,3,100,115,3470609,506,502,4,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,4,100,115,3224779,499,499,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,5,100,115,3590629,498,498,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,6,100,115,3221309,504,503,1,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,7,100,115,3260230,501,500,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,8,100,115,3281230,512,508,5,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,9,100,115,3363009,496,496,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p115,discovery,10,100,115,3942519,496,495,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,0,100,4278,4856530,564,562,2,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,1,100,4278,4548659,571,570,1,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,2,100,4278,4320198,597,597,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,3,100,4278,4355379,579,577,2,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,4,100,4278,4205388,566,560,6,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,5,100,4278,4489030,543,541,2,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,6,100,4278,4660508,590,590,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,7,100,4278,4361439,546,546,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,8,100,4278,4306017,559,556,3,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,9,100,4278,4621459,543,541,1,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p4278,discovery,10,100,4278,5096788,586,588,0,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,0,100,297822,79345738,7138,7085,53,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,1,100,297822,71277554,6848,6799,49,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,2,100,297822,73216665,6849,6813,36,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,3,100,297822,73140710,6915,6894,22,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,4,100,297822,71266159,6774,6742,32,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,5,100,297822,69114710,6737,6714,24,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,6,100,297822,73267275,6831,6815,16,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,7,100,297822,69161314,6831,6810,21,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,8,100,297822,72543489,6871,6841,30,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,9,100,297822,69414634,6863,6823,41,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p297822,discovery,10,100,297822,70928448,6806,6776,30,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,0,100,1550274,364366372,31952,31730,225,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,1,100,1550274,340725120,31373,31179,195,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,2,100,1550274,337201158,31298,31112,187,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,3,100,1550274,336361703,31531,31374,158,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,4,100,1550274,335656739,31386,31184,203,18
b5ece8566b49d96811dc24401dbe8825bf03b796,iroh_dial_p1550274,discovery,5,100,1550274,334064311,31112,30937,177,18
