rev,workload,condition,sample,echoes,payload,cpu_ns,slices,vcsw,nvcsw,threads
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,3737979,527,523,4,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,3780349,513,511,3,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,3213970,502,500,2,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,3844400,511,512,0,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,3918330,523,519,4,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,4032239,529,527,2,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,3883640,524,519,5,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,3866137,532,530,1,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,3566579,514,514,0,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,0,100,1,4344978,530,524,5,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p115,discovery,0,100,115,3792168,511,511,0,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p115,discovery,0,100,115,3262979,499,498,1,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p115,discovery,0,100,115,3895199,531,529,2,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p115,discovery,0,100,115,3697719,527,526,1,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p115,discovery,0,100,115,4180798,523,518,3,18
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial_p115,discovery,0,100,115,3498329,514,513,1,18
