sample,write_bytes,capacity_bytes
1,1,278
1,115,31970
1,4096,180224
1,65536,233152
2,1,278
2,115,31970
2,4096,180224
2,65536,233152
3,1,278
3,115,31970
3,4096,180224
3,65536,233152
4,1,278
4,115,31970
4,4096,180224
4,65536,233152
5,1,278
5,115,31970
5,4096,180224
5,65536,233152
6,1,278
6,115,31970
6,4096,180224
6,65536,233152
7,1,278
7,115,31970
7,4096,180224
7,65536,233152
8,1,278
8,115,31970
8,4096,180224
8,65536,233152
9,1,278
9,115,31970
9,4096,180224
9,65536,233152
10,1,278
10,115,31970
10,4096,180224
10,65536,233152
