rev,workload,condition,cache,sample,boundary,ms,status
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,runtime_start,0.403,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,endpoint_bind,1.581,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,address_lookup,133.795,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,dial_handshake,201.139,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,stream_open,85.871,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.048,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.036,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.033,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.030,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.031,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.029,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.030,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.029,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.030,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.029,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.030,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.029,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.035,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.025,ok
fcc97ee87fca3ef9ce5a8bc4fea02e34975723da,iroh_dial,discovery,cold,0,echo_rtt,0.034,ok
