workload,condition,cache,boundary,n,fail,median_ms,p95_ms
iroh_dial,discovery,cold,address_lookup,10,0,1.662,133.795
iroh_dial,discovery,cold,dial_handshake,10,0,195.274,201.276
iroh_dial,discovery,cold,echo_rtt,1000,0,0.033,0.057
iroh_dial,discovery,cold,endpoint_bind,10,0,1.474,1.581
iroh_dial,discovery,cold,runtime_start,10,0,0.385,0.485
iroh_dial,discovery,cold,stream_open,10,0,85.059,94.525
iroh_dial_p115,discovery,cold,address_lookup,10,0,1.615,1.745
iroh_dial_p115,discovery,cold,dial_handshake,10,0,193.262,200.918
iroh_dial_p115,discovery,cold,echo_rtt,1000,0,0.033,0.064
iroh_dial_p115,discovery,cold,endpoint_bind,10,0,1.473,1.571
iroh_dial_p115,discovery,cold,runtime_start,10,0,0.367,0.474
iroh_dial_p115,discovery,cold,stream_open,10,0,83.774,93.585
iroh_dial_p1550274,discovery,cold,address_lookup,10,0,1.615,1.720
iroh_dial_p1550274,discovery,cold,dial_handshake,10,0,193.500,201.968
iroh_dial_p1550274,discovery,cold,echo_rtt,1000,0,2.735,3.233
iroh_dial_p1550274,discovery,cold,endpoint_bind,10,0,1.428,1.461
iroh_dial_p1550274,discovery,cold,runtime_start,10,0,0.367,0.485
iroh_dial_p1550274,discovery,cold,stream_open,10,0,83.738,95.286
iroh_dial_p297822,discovery,cold,address_lookup,10,0,1.667,129.412
iroh_dial_p297822,discovery,cold,dial_handshake,10,0,193.519,201.403
iroh_dial_p297822,discovery,cold,echo_rtt,1000,0,0.571,0.795
iroh_dial_p297822,discovery,cold,endpoint_bind,10,0,1.404,1.491
iroh_dial_p297822,discovery,cold,runtime_start,10,0,0.394,0.419
iroh_dial_p297822,discovery,cold,stream_open,10,0,83.661,96.051
iroh_dial_p4278,discovery,cold,address_lookup,10,0,1.643,129.997
iroh_dial_p4278,discovery,cold,dial_handshake,10,0,193.401,202.006
iroh_dial_p4278,discovery,cold,echo_rtt,1000,0,0.050,0.077
iroh_dial_p4278,discovery,cold,endpoint_bind,10,0,1.425,1.664
iroh_dial_p4278,discovery,cold,runtime_start,10,0,0.367,0.394
iroh_dial_p4278,discovery,cold,stream_open,10,0,85.278,103.241
seer_dial,discovery,cold,echo_rtt,1000,0,0.040,0.055
seer_dial,discovery,cold,seer_dial,10,0,195.133,321.600
seer_dial,discovery,cold,stream_open,10,0,86.840,93.923
seer_dial_p115,discovery,cold,echo_rtt,1000,0,0.039,0.059
seer_dial_p115,discovery,cold,seer_dial,10,0,198.492,202.217
seer_dial_p115,discovery,cold,stream_open,10,0,87.003,117.832
seer_dial_p1550274,discovery,cold,echo_rtt,1000,0,3.103,3.626
seer_dial_p1550274,discovery,cold,seer_dial,10,0,196.065,202.419
seer_dial_p1550274,discovery,cold,stream_open,10,0,83.260,92.869
seer_dial_p297822,discovery,cold,echo_rtt,1000,0,0.749,1.001
seer_dial_p297822,discovery,cold,seer_dial,10,0,201.704,205.754
seer_dial_p297822,discovery,cold,stream_open,10,0,87.297,94.460
seer_dial_p4278,discovery,cold,echo_rtt,1000,0,0.062,0.092
seer_dial_p4278,discovery,cold,seer_dial,10,0,195.899,204.816
seer_dial_p4278,discovery,cold,stream_open,10,0,90.478,93.959
