workload,condition,cache,boundary,n,fail,median_ms,p95_ms
iroh_dial,discovery,cold,address_lookup,1,0,130.355,130.355
iroh_dial,discovery,cold,dial_handshake,1,0,191.343,191.343
iroh_dial,discovery,cold,echo_rtt,100,0,0.033,0.059
iroh_dial,discovery,cold,endpoint_bind,1,0,1.503,1.503
iroh_dial,discovery,cold,runtime_start,1,0,0.404,0.404
iroh_dial,discovery,cold,stream_open,1,0,92.777,92.777
iroh_dial,discovery,warm,address_lookup,10,0,0.092,0.122
iroh_dial,discovery,warm,dial_handshake,10,0,0.343,0.390
iroh_dial,discovery,warm,echo_rtt,1000,0,0.032,0.048
iroh_dial,discovery,warm,stream_open,10,0,0.172,0.679
iroh_dial_p115,discovery,cold,address_lookup,1,0,1.659,1.659
iroh_dial_p115,discovery,cold,dial_handshake,1,0,200.206,200.206
iroh_dial_p115,discovery,cold,echo_rtt,100,0,0.036,0.057
iroh_dial_p115,discovery,cold,endpoint_bind,1,0,1.481,1.481
iroh_dial_p115,discovery,cold,runtime_start,1,0,0.396,0.396
iroh_dial_p115,discovery,cold,stream_open,1,0,95.814,95.814
iroh_dial_p115,discovery,warm,address_lookup,10,0,0.086,0.117
iroh_dial_p115,discovery,warm,dial_handshake,10,0,0.347,0.692
iroh_dial_p115,discovery,warm,echo_rtt,1000,0,0.033,0.050
iroh_dial_p115,discovery,warm,stream_open,10,0,0.174,0.262
iroh_dial_p1550274,discovery,cold,address_lookup,1,0,1.537,1.537
iroh_dial_p1550274,discovery,cold,dial_handshake,1,0,200.670,200.670
iroh_dial_p1550274,discovery,cold,echo_rtt,100,0,2.715,4.107
iroh_dial_p1550274,discovery,cold,endpoint_bind,1,0,1.676,1.676
iroh_dial_p1550274,discovery,cold,runtime_start,1,0,0.466,0.466
iroh_dial_p1550274,discovery,cold,stream_open,1,0,96.445,96.445
iroh_dial_p1550274,discovery,warm,address_lookup,10,0,0.084,0.089
iroh_dial_p1550274,discovery,warm,dial_handshake,10,0,0.336,0.387
iroh_dial_p1550274,discovery,warm,echo_rtt,1000,0,2.583,2.910
iroh_dial_p1550274,discovery,warm,stream_open,10,0,0.147,0.201
iroh_dial_p297822,discovery,cold,address_lookup,1,0,1.683,1.683
iroh_dial_p297822,discovery,cold,dial_handshake,1,0,200.554,200.554
iroh_dial_p297822,discovery,cold,echo_rtt,100,0,0.611,0.945
iroh_dial_p297822,discovery,cold,endpoint_bind,1,0,1.433,1.433
iroh_dial_p297822,discovery,cold,runtime_start,1,0,0.390,0.390
iroh_dial_p297822,discovery,cold,stream_open,1,0,97.118,97.118
iroh_dial_p297822,discovery,warm,address_lookup,10,0,0.074,0.086
iroh_dial_p297822,discovery,warm,dial_handshake,10,0,0.306,0.355
iroh_dial_p297822,discovery,warm,echo_rtt,1000,0,0.538,0.631
iroh_dial_p297822,discovery,warm,stream_open,10,0,0.170,0.245
iroh_dial_p4278,discovery,cold,address_lookup,1,0,2.517,2.517
iroh_dial_p4278,discovery,cold,dial_handshake,1,0,192.502,192.502
iroh_dial_p4278,discovery,cold,echo_rtt,100,0,0.051,0.077
iroh_dial_p4278,discovery,cold,endpoint_bind,1,0,1.615,1.615
iroh_dial_p4278,discovery,cold,runtime_start,1,0,0.396,0.396
iroh_dial_p4278,discovery,cold,stream_open,1,0,92.977,92.977
iroh_dial_p4278,discovery,warm,address_lookup,10,0,0.086,0.100
iroh_dial_p4278,discovery,warm,dial_handshake,10,0,0.357,0.399
iroh_dial_p4278,discovery,warm,echo_rtt,1000,0,0.047,0.071
iroh_dial_p4278,discovery,warm,stream_open,10,0,0.169,0.196
seer_dial,discovery,cold,echo_rtt,100,0,0.038,0.071
seer_dial,discovery,cold,seer_dial,1,0,329.361,329.361
seer_dial,discovery,cold,stream_open,1,0,83.177,83.177
seer_dial,discovery,warm,echo_rtt,1000,0,0.042,0.075
seer_dial,discovery,warm,seer_dial,10,0,195.626,202.295
seer_dial,discovery,warm,stream_open,10,0,82.317,93.581
seer_dial_p115,discovery,cold,echo_rtt,100,0,0.040,0.053
seer_dial_p115,discovery,cold,seer_dial,1,0,202.522,202.522
seer_dial_p115,discovery,cold,stream_open,1,0,83.228,83.228
seer_dial_p115,discovery,warm,echo_rtt,1000,0,0.042,0.076
seer_dial_p115,discovery,warm,seer_dial,10,0,195.466,205.417
seer_dial_p115,discovery,warm,stream_open,10,0,81.628,83.229
seer_dial_p1550274,discovery,cold,echo_rtt,100,0,3.093,3.507
seer_dial_p1550274,discovery,cold,seer_dial,1,0,202.054,202.054
seer_dial_p1550274,discovery,cold,stream_open,1,0,83.185,83.185
seer_dial_p1550274,discovery,warm,echo_rtt,1000,0,3.114,3.496
seer_dial_p1550274,discovery,warm,seer_dial,10,0,193.789,201.263
seer_dial_p1550274,discovery,warm,stream_open,10,0,81.287,215.586
seer_dial_p297822,discovery,cold,echo_rtt,100,0,0.754,0.919
seer_dial_p297822,discovery,cold,seer_dial,1,0,201.691,201.691
seer_dial_p297822,discovery,cold,stream_open,1,0,83.088,83.088
seer_dial_p297822,discovery,warm,echo_rtt,1000,0,0.752,0.983
seer_dial_p297822,discovery,warm,seer_dial,10,0,193.254,202.299
seer_dial_p297822,discovery,warm,stream_open,10,0,81.327,92.866
seer_dial_p4278,discovery,cold,echo_rtt,100,0,0.064,0.111
seer_dial_p4278,discovery,cold,seer_dial,1,0,195.232,195.232
seer_dial_p4278,discovery,cold,stream_open,1,0,81.494,81.494
seer_dial_p4278,discovery,warm,echo_rtt,1000,0,0.063,0.103
seer_dial_p4278,discovery,warm,seer_dial,10,0,196.051,203.792
seer_dial_p4278,discovery,warm,stream_open,10,0,81.490,93.626
