rev,repeat,workload,cols,rows,keys,last_key_ms,window_ms,updates,bytes
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,1,typing,80,24,308,30703,30749,308,17761153
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,2,typing,80,24,308,30703,30748,308,29584356
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,3,typing,80,24,308,30707,30710,308,29584356
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,1,editor,80,24,233,25229,25236,237,62705872
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,2,editor,80,24,233,25204,25212,235,62155594
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,3,editor,80,24,233,25202,25213,237,62783755
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,1,pager,80,24,617,25645,25652,620,174359278
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,2,pager,80,24,617,25645,25650,619,173722235
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,3,pager,80,24,617,25645,25690,617,173203258
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,1,burst,80,24,14,1300,3020,252,7685334
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,2,burst,80,24,14,1300,3111,270,7203483
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,3,burst,80,24,14,1300,3013,251,6751949
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,1,typing,200,50,308,30703,30710,308,22372300
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,2,typing,200,50,308,30704,30749,309,45008668
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,3,typing,200,50,308,30704,30707,308,53205737
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,1,editor,200,50,233,25203,25248,235,105462667
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,2,editor,200,50,233,25202,25248,237,106496114
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,3,editor,200,50,233,25202,25207,235,105913109
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,1,pager,200,50,617,25646,25693,621,297879979
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,2,pager,200,50,617,25646,25692,618,296666174
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,3,pager,200,50,617,25646,25656,618,296682710
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,1,burst,200,50,14,1300,3092,252,16149389
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,2,burst,200,50,14,1300,3072,249,14087544
f89348209050e22a7f85a2815a20945d0e646ed3-dirty,3,burst,200,50,14,1300,3118,258,14542902
