rev,repeat,workload,cols,rows,keys,last_key_ms,window_ms,updates,bytes
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,1,typing,80,24,308,30703,30706,308,17761153
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,2,typing,80,24,308,30703,30747,308,29584356
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,3,typing,80,24,308,30704,30749,308,29584356
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,1,editor,80,24,233,25202,25209,235,39352660
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,2,editor,80,24,233,25204,25210,235,39414112
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,3,editor,80,24,233,25204,25213,236,39540205
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,1,pager,80,24,617,25646,25649,617,71016537
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,2,pager,80,24,617,25645,25648,618,71002149
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,3,pager,80,24,617,25645,25652,617,70717353
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,1,burst,80,24,16,1500,3444,153,16451363
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,2,burst,80,24,16,1500,3454,155,16748432
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,3,burst,80,24,16,1500,3459,155,16922143
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,1,typing,200,50,308,30703,30710,308,51212817
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,2,typing,200,50,308,30703,30748,309,49292626
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,3,typing,200,50,308,30706,30752,308,53205737
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,1,editor,200,50,233,25206,25212,236,69169034
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,2,editor,200,50,233,25202,25208,234,68727691
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,3,editor,200,50,233,25202,25248,236,69450148
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,1,pager,200,50,617,25646,25658,619,126932668
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,2,pager,200,50,617,25645,25693,617,126469853
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,3,pager,200,50,617,25646,25654,617,126488138
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,1,burst,200,50,16,1500,3503,144,29454701
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,2,burst,200,50,16,1500,3485,149,29388890
f06bc136bd02fe22b6fe88871ee9fd9c525fb653,3,burst,200,50,16,1500,3491,144,27958640
